,amount,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,CLNfee,CLNdly,CLNpthlnt,CLNtp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp,LNDfee,LNDdly,LNDpthlnt,LNDtp
3214,8,0.0824,114,4,Success,0.00396,80,3,Success,0.00396,80,3,Success,0.00396,80,3,Success,0.00311,224,7,Success,0.00396,80,3,Success
3215,7801,25.038410000000002,226,6,Success,24.410819999999998,160,5,Failure,24.410819999999998,160,5,Success,24.410819999999998,160,5,Failure,23.419639999999998,270,8,Failure,24.410819999999998,160,5,Success
3216,61,0.83877,196,6,Success,1.29664,162,5,Success,1.29664,162,5,Success,1.29664,162,5,Success,0.00641,464,13,Success,1.29664,162,5,Success
3217,1,1.00025,114,4,Success,1.0002,120,4,Success,1.0002,120,4,Success,1.0002,120,4,Success,1.0,314,9,Success,1.0002,120,4,Success
3218,1597,2.2548999999999997,368,5,Success,2.1361499999999998,304,6,Success,5.161009999999999,120,4,Success,2.1361499999999998,304,6,Success,0.09303000000000002,490,12,Success,5.161009999999999,120,4,Success
3219,1,0.0061600000000000005,232,6,Success,0.00601,192,5,Success,0.00601,192,5,Success,0.00601,192,5,Success,0.00601,192,5,Success,0.00601,192,5,Success
3220,75,4.27569,228,7,Success,4.270149999999999,160,5,Success,4.270149999999999,160,5,Success,4.270149999999999,160,5,Success,4.26551,212,7,Success,4.270149999999999,160,5,Success
3221,6,2.00125,304,6,Success,2.00122,304,6,Success,2.00122,304,6,Success,2.00122,304,6,Success,2.00007,374,8,Success,2.00122,304,6,Success
3222,103,1.32253,282,6,Success,1.3121,264,5,Success,1.3121,264,5,Success,1.3121,264,5,Success,1.3121,532,9,Success,1.3121,264,5,Success
3223,5,1.0054400000000001,114,4,Success,1.0054400000000001,114,4,Success,1.0054400000000001,114,4,Success,1.0054400000000001,114,4,Success,1.00004,394,11,Success,1.0054400000000001,114,4,Success
3224,10,2.00191,96,4,Success,2.00191,96,4,Success,2.00191,96,4,Success,2.00191,96,4,Success,2.0000400000000003,154,5,Success,2.00191,96,4,Success
